ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
-2.707071512160331011e+06,4.688785398784006014e+06,3.360484426048749126e+06
